Subawardee UEI,Hull,Subawardee Vendor Name,Builder,Predominant SWBS,Assigned $M,Records,First Subaward,Last Subaward,Confidence
JRHJJRY6DWK3,DDG 113,"CORNELL-CARR CO., INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JLREE96WGKM5,DDG 113,DRS LAUREL TECHNOLOGIES,HII-Ingalls,U00 No SWBS Evidence,,,,,A
LR2HQKYJLDZ7,DDG 113,ESI ACQUISITION CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
KXWXRYB3FBW3,DDG 113,FLOWSERVE CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MEMSWT1LFU18,DDG 113,JERED LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JU2ME5ZK8VL3,DDG 113,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
PQGNEEY9W5M3,DDG 113,NORTHROP GRUMMAN SYSTEMS CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
NQKEVF8KEMP1,DDG 113,PIVOTAL POWER INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLVNZXU8EAM1,DDG 113,POWER PARAGON INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
UK8DL82MHJG5,DDG 113,PROPULSION CONTROLS ENGINEERING,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HNAECT5M9TM4,DDG 113,"SOCAIL, LDA",HII-Ingalls,U00 No SWBS Evidence,,,,,A
FZPYZ11SFNA6,DDG 113,TIMKEN GEARS & SERVICES INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
LFVJABJDQVZ9,DDG 113,"W. & O. SUPPLY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
HMBSX7Z72UK4,DDG 113,"WESTLAND TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
E383LRP25MY6,DDG 113,YOUNG ENGINEERING COMPANY INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
G78MQ69BN636,DDG 113,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,HII-Ingalls,U00 No SWBS Evidence,,,,,A
R71XN254HA36,DDG 113,AKRON BRASS COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,A
M6ZTA4NZGLQ5,DDG 113,"ANDERSON METAL INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
TAB4FBLR5UM1,DDG 113,ANIXTER INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
F98TZC6J5XV1,DDG 113,"ARC TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
VHCPBNRMLK33,DDG 113,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
UWH5HRSJ5ES7,DDG 113,AUTOMATIC COATING LIMITED,HII-Ingalls,U00 No SWBS Evidence,,,,,A
FJMAMQK89ZB8,DDG 113,"CAMERON TECHNOLOGIES US, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
XMLNYKT139G8,DDG 113,CRESTWOOD TECHNOLOGY GROUP CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
FECPDA1S8WJ1,DDG 113,D. W. BOYD CORPORATION,HII-Ingalls,600 Outfit & Furnishings,,,,,A
LSGYNGHKB863,DDG 113,DEBAN ENTERPRISES INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
REXPSJ7NAHU8,DDG 113,DERBYSHIRE MACHINE & TOOL CO,HII-Ingalls,U00 No SWBS Evidence,,,,,A
UES5F4AAZJK5,DDG 113,"DONALDSON COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NL7RNBHWHJQ1,DDG 113,DRS TECHNOLOGIES CANADA LTD,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MHR1KKAZ1NH5,DDG 113,"EDRO CORPORATION, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,A
D28HQ4AA2ZL8,DDG 113,"EFFORT FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
LPN2BLLPK366,DDG 113,"EGGELHOF, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
MYJHF1S2HGV5,DDG 113,"EPSILON SYSTEMS SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
N6U1EU32U9J1,DDG 113,"EST GROUP, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
LRYRHNM7EHJ8,DDG 113,"GAYLORD INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZE1KT2MPBGM3,DDG 113,"HARDING COMPANY, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
LX5BF78ZTHW4,DDG 113,"HDT EXPEDITIONARY SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KB8ALFD8K1X8,DDG 113,Higgins Marine Services Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MSSQQ551LG41,DDG 113,"IMPRES TECHNOLOGY SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
EDNNTCM7SUS8,DDG 113,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JL4THZCMNKR7,DDG 113,JACKSON PLATING CO.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
U4MMR7DR2DR7,DDG 113,"JAL ENTERPRISES, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
R1M8JJH7J5W5,DDG 113,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
CVMQHCRDBVT7,DDG 113,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZQ11WUWJGAA4,DDG 113,"KIDDE-FENWAL, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
RMLGMBGNPCC8,DDG 113,"KINGSBURY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
WPP2ABN6UCF5,DDG 113,"L3 TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
EEE8FHKK1YR9,DDG 113,"LAFAYETTE RESTAURANT SUPPLY, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
ELC5EVMWFVM8,DDG 113,"LAKE SHORE SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KTMAJCY6JXM3,DDG 113,"LEIDOS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
G871GBTQ94M7,DDG 113,Lona Slade,HII-Ingalls,U00 No SWBS Evidence,,,,,A
S3GFGJ1QGAE6,DDG 113,"M.S.M. INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
UUK2QMVKDKN1,DDG 113,"MANSFIELD INDUSTRIAL, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
UTWXQFNH47D5,DDG 113,"MEGGITT (NORTH HOLLYWOOD), INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
QYKAR7MJJXL7,DDG 113,"MEGGITT SAFETY SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
V72KJGHK3JF2,DDG 113,MGR EQUIPMENT CORP,HII-Ingalls,600 Outfit & Furnishings,,,,,A
EV4ZGUNNKMJ6,DDG 113,"PACIFIC SHIP REPAIR & FABRICATION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
N5KMLMXEPFM5,DDG 113,PARKER-HANNIFIN CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
DW33W8L3N1P8,DDG 113,"PHOENIX GROUP OF VIRGINIA, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NBM4G4SAFQM3,DDG 113,"QUALITY PERFORMANCE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
V32LJNFLKBT7,DDG 113,RFD BEAUFORT INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
V6JXCLR8QR37,DDG 113,RHINESTAHL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
DYJZZ9DANLM3,DDG 113,Ralph & Dorothy Moore,HII-Ingalls,U00 No SWBS Evidence,,,,,A
GJEXETZX4N96,DDG 113,SHIELD TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
RYYRAAAGPXB5,DDG 113,"STOCKERT, LAURA",HII-Ingalls,U00 No SWBS Evidence,,,,,A
CJ8CQLEM2RW3,DDG 113,"SYSCO USA II, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
DQLZFV6PFCB9,DDG 113,"TATE ANDALE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JK16ZQ9FRJ51,DDG 113,TAVERNIER DIDIER,HII-Ingalls,U00 No SWBS Evidence,,,,,A
XGUEGCF761T9,DDG 113,THE LOUISIANA ASSOCIATION FOR THE BLIND,HII-Ingalls,U00 No SWBS Evidence,,,,,A
H1PAVTLJBJ88,DDG 113,TYCO FIRE PRODUCTS LP,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JFEWJZWTH4W4,DDG 113,The Tool House Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,A
VD5WUGZUCJ44,DDG 113,"Triple Son Wholesale Timber, Inc.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
PW9GWUTL4KV5,DDG 113,U S INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
SVHJHMJH65S8,DDG 113,ULTRA ELECTRONICS OCEAN SYSTEMS INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZTBRMLGP4JF5,DDG 113,"VALLEN DISTRIBUTION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
YVDFW51N3N61,DDG 113,"WALDO BROTHERS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NGE4ALP2M661,DDG 113,"WEAVER SUPPLY COMPANY, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
FFZLXPAQCMD8,DDG 113,WHITING DOOR MANUFACTURING CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZSJFXM833NA3,DDG 113,Xerox Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,A
EV4ZGUNNKMJ6,DDG 114,"PACIFIC SHIP REPAIR & FABRICATION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
SKKACASET588,DDG 114,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLVBPCA2LH41,DDG 114,ROLLS-ROYCE MARINE NORTH AMERICA INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JNC1BUEVV3B9,DDG 114,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZA1KMNAJMVT3,DDG 114,SURFACE TECHNOLOGIES CORPORATION,HII-Ingalls,600 Outfit & Furnishings,,,,,A
W2H3SYSJNLK5,DDG 114,Arastaff,HII-Ingalls,U00 No SWBS Evidence,,,,,A
KNEFNMWXBK39,DDG 114,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
LCZDJ6YPNYG6,DDG 114,MARTIN ENERGY SERVICES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
J8ATNVMEGLK1,DDG 114,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
SSD8KRDXKG46,DDG 114,"HILLER COMPANIES, INC., THE",HII-Ingalls,500 Auxiliary Systems,,,,,A
LR2HQKYJLDZ7,DDG 114,ESI ACQUISITION CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MEMSWT1LFU18,DDG 114,JERED LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
PQGNEEY9W5M3,DDG 114,NORTHROP GRUMMAN SYSTEMS CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JR3NDKLB4BH9,DDG 114,PACIFIC MARINE SYSTEMS CORP,HII-Ingalls,U00 No SWBS Evidence,,,,,A
D44RA79E3K57,DDG 114,"PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KCYPSYNH1M94,DDG 114,US JOINER LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
J3AFGKXWYK73,DDG 114,YORK INTERNATIONAL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JRHJJRY6DWK3,DDG 114,"CORNELL-CARR CO., INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
LGL1LNBH8KM5,DDG 114,"GRISWOLD INDUSTRIES, CO.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
DJG7NEG7QRK5,DDG 114,"HUNT VALVE COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
S3GFGJ1QGAE6,DDG 114,"M.S.M. INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
Q35JL9GFCAK3,DDG 114,"MAROTTA CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JU2ME5ZK8VL3,DDG 114,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
D2J1SSHB5EB7,DDG 114,THE HELLAN STRAINER CO,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HMBSX7Z72UK4,DDG 114,"WESTLAND TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
RYRLL49HWN65,DDG 114,BAKER SHEET METAL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MHR1KKAZ1NH5,DDG 114,"EDRO CORPORATION, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,A
VJMTKNLENX24,DDG 114,ENGINEERED COIL COMPANY,HII-Ingalls,500 Auxiliary Systems,,,,,A
JW6PXX1WALN4,DDG 114,HOWDEN NORTH AMERICA INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
DQ35GXAUTW61,DDG 114,"INDUSTRIAL CORROSION CONTROL, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
QNEXJLA47BM4,DDG 114,"JAMESTOWN METAL MARINE SALES, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
C6C8KS7Y1K76,DDG 114,MIDE TECHNOLOGY CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
DW33W8L3N1P8,DDG 114,"PHOENIX GROUP OF VIRGINIA, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NQKEVF8KEMP1,DDG 114,PIVOTAL POWER INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JEP5GQGFPUL9,DDG 114,PORTLAND VALVE LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
NBM4G4SAFQM3,DDG 114,"QUALITY PERFORMANCE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
V6JXCLR8QR37,DDG 114,RHINESTAHL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
WQAKKCKH9LM8,DDG 114,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
G15JF2TNVBL6,DDG 114,SIGNET MARITIME CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HNAECT5M9TM4,DDG 114,"SOCAIL, LDA",HII-Ingalls,U00 No SWBS Evidence,,,,,A
HNJDANSKDZK9,DDG 114,"SPECTRONICS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JA2KCX21NL48,DDG 114,"WARTSILA DEFENSE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NGE4ALP2M661,DDG 114,"WEAVER SUPPLY COMPANY, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
R71XN254HA36,DDG 114,AKRON BRASS COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,A
TAB4FBLR5UM1,DDG 114,ANIXTER INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
F98TZC6J5XV1,DDG 114,"ARC TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
VHCPBNRMLK33,DDG 114,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
UWH5HRSJ5ES7,DDG 114,AUTOMATIC COATING LIMITED,HII-Ingalls,U00 No SWBS Evidence,,,,,A
CAKCE9S4WL78,DDG 114,"AZTEC GLOBAL SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
WWMME88ERQG5,DDG 114,"BESTWELD, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
CXZ9PUEZ5SQ7,DDG 114,BLACK & DECKER (U.S.) INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLFDNJU7KXJ1,DDG 114,BOGUE SYSTEMS INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
FJMAMQK89ZB8,DDG 114,"CAMERON TECHNOLOGIES US, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
M8ZHL8ZXGQP5,DDG 114,"CHROMALOX, INC.",HII-Ingalls,500 Auxiliary Systems,,,,,A
NC39YCMEXVJ8,DDG 114,COLUMBUS MCKINNON CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
FNQARYRJJEL5,DDG 114,"COSPOLICH, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
RLXQHCXFT513,DDG 114,CUNICO CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
FECPDA1S8WJ1,DDG 114,D. W. BOYD CORPORATION,HII-Ingalls,600 Outfit & Furnishings,,,,,A
LSGYNGHKB863,DDG 114,DEBAN ENTERPRISES INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
REXPSJ7NAHU8,DDG 114,DERBYSHIRE MACHINE & TOOL CO,HII-Ingalls,U00 No SWBS Evidence,,,,,A
W2GBUE64GMZ6,DDG 114,"DERBYSHIRE MARINE PRODUCTS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
TC76NMCGN4F4,DDG 114,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
UES5F4AAZJK5,DDG 114,"DONALDSON COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
FCK2D4PSV1L2,DDG 114,"DOVER ENERGY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
GXPHJRVG9MR7,DDG 114,"DRS POWER & CONTROL TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
NL7RNBHWHJQ1,DDG 114,DRS TECHNOLOGIES CANADA LTD,HII-Ingalls,U00 No SWBS Evidence,,,,,A
D28HQ4AA2ZL8,DDG 114,"EFFORT FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
CJF6S4UR1LM8,DDG 114,EVOQUA WATER TECHNOLOGIES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
TSCZLHCGNQ53,DDG 114,FACET (OKLAHOMA) LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
UR5TFK3LAVL5,DDG 114,FEDERAL RESOURCES SUPPLY COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JJRDPJY9GQA8,DDG 114,"FLETCHER CONSTRUCTION COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KXWXRYB3FBW3,DDG 114,FLOWSERVE CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
LRYRHNM7EHJ8,DDG 114,"GAYLORD INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZE1KT2MPBGM3,DDG 114,"HARDING COMPANY, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
DWUHNL9BC3U7,DDG 114,"HOWELL LABORATORIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
GKN9NW23L2L9,DDG 114,"HYSPAN PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KB8ALFD8K1X8,DDG 114,Higgins Marine Services Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,A
MSSQQ551LG41,DDG 114,"IMPRES TECHNOLOGY SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JGLLLKELFB57,DDG 114,ITT CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JL4THZCMNKR7,DDG 114,JACKSON PLATING CO.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
R1M8JJH7J5W5,DDG 114,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KLDTZDR12ZB7,DDG 114,JUNIPER ELBOW CO. INC.,HII-Ingalls,100 Hull Structure,,,,,A
CVMQHCRDBVT7,DDG 114,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZQ11WUWJGAA4,DDG 114,"KIDDE-FENWAL, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
HEUNPCKQLMN5,DDG 114,KLUMB LUMBER COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZW3UMG9YVNA9,DDG 114,L-3 COMMUNICATIONS WESTWOOD CORPORATION,HII-Ingalls,300 Electric Plant,,,,,A
WPP2ABN6UCF5,DDG 114,"L3 TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KTMAJCY6JXM3,DDG 114,"LEIDOS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZFN2JJXBLZT3,DDG 114,LOCKHEED MARTIN CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
G871GBTQ94M7,DDG 114,Lona Slade,HII-Ingalls,U00 No SWBS Evidence,,,,,A
V72KJGHK3JF2,DDG 114,MGR EQUIPMENT CORP,HII-Ingalls,600 Outfit & Furnishings,,,,,A
XECCFU26TTP9,DDG 114,"Moniteq, Inc.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
T99DCLB5NRH7,DDG 114,"OCENCO, INCORPORATED",HII-Ingalls,U00 No SWBS Evidence,,,,,A
SLTUM1DV4433,DDG 114,"PARASENSE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
N5KMLMXEPFM5,DDG 114,PARKER-HANNIFIN CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLVNZXU8EAM1,DDG 114,POWER PARAGON INC,HII-Ingalls,300 Electric Plant,,,,,A
FVFNV3NERP36,DDG 114,"POWERSTAR, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
V32LJNFLKBT7,DDG 114,RFD BEAUFORT INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
N16ET1YJ6QZ3,DDG 114,"ROMAC INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
DYJZZ9DANLM3,DDG 114,Ralph & Dorothy Moore,HII-Ingalls,U00 No SWBS Evidence,,,,,A
GJEXETZX4N96,DDG 114,SHIELD TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JZXZSN3BBL98,DDG 114,SIEMENS INDUSTRY INC.,HII-Ingalls,600 Outfit & Furnishings,,,,,A
HUKGWGAFW4C7,DDG 114,SOUNDOWN CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
RYYRAAAGPXB5,DDG 114,"STOCKERT, LAURA",HII-Ingalls,U00 No SWBS Evidence,,,,,A
CJ8CQLEM2RW3,DDG 114,"SYSCO USA II, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
DQLZFV6PFCB9,DDG 114,"TATE ANDALE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JK16ZQ9FRJ51,DDG 114,TAVERNIER DIDIER,HII-Ingalls,U00 No SWBS Evidence,,,,,A
