Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,≤FY12 $M,FY13 $M,FY14 $M,FY15 $M,FY16 $M,FY17 $M,FY18 $M,FY19 $M,FY20 $M,FY21 $M,FY22 $M,FY23 $M,FY24 $M,FY25 $M,FY26 $M,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
KNEFNMWXBK39,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,JO-KELL INC.,JO-KELL INC.,Domestic,18.652179,113,2013-12-02,2026-01-05,,,,,,,,,,,,,,,,,,,,"Supplies electrical-distribution hardware, including circuit breakers for DDG-51 weapons systems and shore-power cable adapters used on the class.","https://www.war.gov/News/Contracts/Contract/Article/4186522/contracts-for-may-14-2025/
https://www.parttarget.com/5970-01-513-2491_5970015132491_BSFP500.html"
Q35JL9GFCAK3,332912,Fluid Power Valve and Hose Fitting Manufacturing,,"MAROTTA CONTROLS, INC.","MAROTTA CONTROLS, INC.",Domestic,18.179404,143,2013-04-11,2025-09-24,,,,,,,,,,,,,,,,,,,,Supplies engineered fluid-control valves and manifolds for DDG-51 shipboard systems; Marotta identifies itself as a major valve/manifold supplier to the class.,"https://marotta.com/about/
https://www.highergov.com/subcontract/N0002423C2307-17313-0/"
G78MQ69BN636,332420,Metal Tank (Heavy Gauge) Manufacturing,,"Octopus Industries, Inc.",AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,Foreign,17.948701,82,2013-06-28,2023-07-13,,,,,,,,,,,,,,,,,,,,"Aircraft Appliances and Equipment Limited manufactures military pressure switches, control panels, power panels, and related electromechanical equipment. Public Navy notices confirm those product types for this entity, but do not identify the precise DDG-51 assembly represented by the subaward.","https://www.highergov.com/awardee/aircraft-appliances-and-equipment-limited-10112412/
https://sam.gov/opp/ab1bc239619d7f4eef7823e021a97364/view
https://sam.gov/workspace/contract/opp/7d8cedc59c074af170e8c6435f4d4c5a/view"
MEMSWT1LFU18,332312,Fabricated Structural Metal Manufacturing,,"PAR SYSTEMS, INC.",JERED LLC,Domestic,17.784273,35,2013-07-23,2024-08-26,,,,,,,,,,,,,,,,,,,,Supplies the DDG-51 helicopter-hangar door system and replacement components. Jered’s electrically driven folding NAVTRUSS-panel doors are installed on the class and are qualified to Navy Grade A shock requirements.,https://www.jered.com/products/specialty-access-sideport-shell-doors/
SKKACASET588,334290,Other Communications Equipment Manufacturing,,DYNALEC CORPORATION,DYNALEC CORPORATION,Domestic,17.74566,218,2013-04-12,2026-01-14,,,,,,,,,,,,,,,,,,,,"The DDG subaward is under electrical/communications purchase specification 431-01C. Dynalec manufactures rugged shipboard communications, navigation, and switching equipment—especially sound-powered telephone/communications systems—but the exact unit in this subaward is not publicly disclosed.","https://www.dynalec.com/
https://www.highergov.com/subcontract/N0002423C2307-17264-0/"
U23DM4ULNLS3,336611,Ship Building and Repairing,,BAE SYSTEMS PLC,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,Domestic,17.715089,2,2025-03-25,2025-12-17,,,,,,,,,,,,,,,,,,,,Supplies Mk 45 Mod 4 5-inch/62-caliber naval gun systems for new-construction DDG-51 destroyers. BAE Systems public materials state Mk 45 gun systems are to be installed on new-construction Arleigh Burke/DDG-51 destroyers and describe the Mod 4 naval gun system.,https://www.baesystems.com/en/article/257-million-contract-awarded-to-produce-mk-45-gun-systems-for-the-us-navy; https://www.baesystems.com/en/product/mk-45-mod-4-naval-gun-system; https://www.highergov.com/contract/N0017419C0004/
HUK5MJK4MH39,332911,Industrial Valve Manufacturing,,"Circor International, Inc.","LESLIE CONTROLS, INC.",Domestic,16.613725,74,2014-07-16,2026-01-28,,,,,,,,,,,,,,,,,,,,"Leslie Controls manufactures severe-service regulating and control valves, pressure-reducing valves, and fluid-control systems. Its DDG-51 role is shipboard control-valve hardware; the public record does not identify the particular valve or service supplied under this UEI.","https://www.highergov.com/awardee/leslie-controls-inc-10109971/
https://www.circor.com/brands/leslie-controls"
MKXMUFJJYLY5,335312,Motor and Generator Manufacturing,,,WARD LEONARD CT LLC,Domestic,16.125684,13,2022-05-16,2025-08-27,,,,,,,,,,,,,,,,,,,,"Supplies naval motors, motor controllers, control components, heaters, overload relays, and systems-integration support. DDG-51 technical records identify Ward Leonard motor-controller equipment installed on the class; the specific construction-line item is not public.","https://www.businesswire.com/news/home/20210105005632/en/Fairbanks-Morse-Acquires-Ward-Leonard
https://man.fas.org/dod-101/sys/ship/weaps/docs/cg_03-91.html"
HLFDNJU7KXJ1,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,BOGUE SYSTEMS INC,BOGUE SYSTEMS INC.,Domestic,15.792605,53,2013-07-08,2026-01-30,,,,,,,,,,,,,,,,,,,,"Supplies automatic transfer-switch/power-control assemblies and electronic modules for shipboard electrical distribution. DDG subawards are documented, and Bogue ATS-4100 modules are publicly cataloged; the exact model purchased under the cited DDG line is not disclosed.","https://www.highergov.com/subcontract/N0002423C2307-3899-0/
https://www.highergov.com/subcontract/N0002418C2307-11288-0/
https://www.parttarget.com/5963-01-583-7997_5963015837997_DG-0216-01-REV-B---ATS-4100-M.html"
LCZDJ6YPNYG6,424710,Petroleum Bulk Stations and Terminals,,Martin Resource Management Corporation,MARTIN ENERGY SERVICES LLC,Domestic,15.590349,27,2015-08-18,2026-01-15,,,,,,,,,,,,,,,,,,,,"Provided fuel for DDG-125 construction, testing, and/or sea-trial support; the subcontract description explicitly identifies fuel for the ship.",https://www.highergov.com/subcontract/N0002413C2307-1274379-1/
ELC5EVMWFVM8,336611,Ship Building and Repairing,,"LAKE SHORE SYSTEMS, INC.","LAKE SHORE SYSTEMS, INC.",Domestic,14.997667,69,2013-07-08,2021-06-21,,,,,,,,,,,,,,,,,,,,"Supplies deck-machinery hardware, including the emergency quick-disconnect switch and weldment handle for the DDG-51 slewing-arm davit (SLAD).","https://www.cleat.ai/government/contracts/uss-alreigh-burke-slad-switch-nuft
https://www.highergov.com/subcontract/N0002423C2307-14715-0/"
V8HGGNTGDH59,332312,Fabricated Structural Metal Manufacturing,,CECO ENVIRONMENTAL CORP,PEERLESS MFG CO,Domestic,13.496232,17,2013-07-03,2025-07-31,,,,,,,,,,,,,,,,,,,,"Supplies air-moisture separation and filtration systems for DDG-51 gas-turbine air intakes, removing water droplets and contaminants before air enters the engines.","https://www.globenewswire.com/news-release/2012/09/18/491345/10774/en/pmfg-inc-parent-of-peerless-mfg-co-notice-of-award-valued-at-13-7-million-to-supply-air-moisture-separation-and-filtration-systems-to-u-s-navy.html
https://www.highergov.com/subcontract/N0002423C2307-14290-0/"
LGL1LNBH8KM5,332911,Industrial Valve Manufacturing,,"GRISWOLD INDUSTRIES, CO.","GRISWOLD INDUSTRIES, CO.",Domestic,13.207772,98,2013-04-05,2025-12-05,,,,,,,,,,,,,,,,,,,,"Supplies Cla-Val automatic-control, pressure-reducing, and solenoid valve assemblies/components for DDG-51 fluid systems. Public item records identify Griswold/Cla-Val valve parts with the Arleigh Burke class as an end item, but the exact valve model in this subaward is not public.","https://www.parttarget.com/Griswold-Industries-Co_nsn-parts_88344-09J_V6105A.html
https://www.wbparts.com/rfq/4810-01-138-1943.html
https://www.parttarget.com/4820-01-193-7762_4820011937762_91584-01.html"
QNEXJLA47BM4,336611,Ship Building and Repairing,,"JAMESTOWN METAL MARINE SALES, INC.","JAMESTOWN METAL MARINE SALES, INC.",Domestic,13.041803,36,2015-02-03,2025-10-15,,,,,,,,,,,,,,,,,,,,"Supplies marine-interior/joiner outfitting—steel/aluminum furniture, accommodation fittings, and related interior packages. A NIST shipbuilding-industry report identifies Jamestown as a marine-interiors outfitter, but public sources do not enumerate the exact items in this DDG subaward.",https://www.nist.gov/document/report02-5pdf
DWUHNL9BC3U7,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,"HOWELL LABORATORIES, INC.","HOWELL LABORATORIES, INC.",Domestic,12.946912,37,2013-06-27,2021-02-08,,,,,,,,,,,,,,,,,,,,"Supplies Model 6995 low-pressure membrane compressed-air dehydrators selected for DDG-51 new construction and Model 7600 ECOLCELL electrochemical anti-fouling chlorinators, class-standard beginning with DDG-103.","https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/1.pdf
https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/63.pdf"
KLDTZDR12ZB7,332322,Sheet Metal Work Manufacturing,,JUNIPER ELBOW CO. INC.,JUNIPER ELBOW CO. INC.,Domestic,12.825208,70,2013-07-23,2025-06-26,,,,,,,,,,,,,,,,,,,,"Juniper manufactures Navy watertight, ballistic, and weathertight doors, hatches, scuttles/manholes, plus marine-ventilation components. Public sources reviewed do not identify which of these products was supplied under this DDG-51 subaward.","https://www.juniperindustries.com/
https://govtribe.com/vendors/juniper-elbow-co-dot-inc-dot-juniper-industries-97537"
H4ZMPGLLZ8D9,332710,Machine Shops,,ARTCRAFT FABRICATORS INC,ARTCRAFT FABRICATORS INC,Domestic,11.574928,2,2023-01-13,2023-01-13,,,,,,,,,,,,,,,,,,,,"Manufactures and repairs waterborne-propulsion shafting—propeller shafts, intermediate shafts, and stern-tube shafts—for DDG-51 ships.","https://govtribe.com/vendors/artcraft-fabricators-inc-dot-collins-machine-works-3g600
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/"
ENNXJDZUYCK3,335929,Other Communication and Energy Wire Manufacturing,,BERKSHIRE HATHAWAY INC.,MARMON AEROSPACE & DEFENSE LLC,Domestic,11.504541,1,2021-11-24,2021-11-24,,,,,,,,,,,,,,,,,,,,"Supplies low-smoke, flame-retardant shipboard electrical/fiber-optic cable and cable assemblies under the RSCC/Marmon brands. A DDG-51 construction subcontract is documented, but public records do not disclose the exact cable type or quantity.","https://www.highergov.com/awardee/marmon-aerospace-defense-llc-10430473/
https://kitcofiberoptics.com/"
KYURG7LRSC89,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,COLFAX CORPORATION,CIRCOR NAVAL SOLUTIONS LLC,Domestic,11.487206,13,2013-07-26,2025-08-15,,,,,,,,,,,,,,,,,,,,Supplies naval pumps and pump replacement/aftermarket components from the Warren and IMO product families for DDG-51 fluid systems. CIRCOR’s Warren/Simsite page explicitly lists DDG-51 among supported applications; the exact subaward pump model is not public.,"https://www.warrenpumps.com/aftermarket/simsite.htm
https://www.circor.com/"
FLMQAKFEMG64,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,,ASPEQ HEATING GROUP LLC,INDEECO LLC,Domestic,10.798867,52,2013-07-15,2025-09-22,,,,,,,,,,,,,,,,,,,,Supplies fuel immersion/flange heaters and associated temperature-sensing/control hardware for DDG-51. Public NSN data identifies an INDEECO thermocouple used on the class’s fuel immersion-flange heater.,"https://www.lqlite.com/NSN/6685-01-466-3185
https://indeeco.com/products/industrial/specialty-heating/marine-heating/fluid-heating-equipment/"
DQ35GXAUTW61,238320,Painting and Wall Covering Contractors,,INDUSTRIAL CORROSION CONTROL INC,INDUSTRIAL CORROSION CONTROL INC,Domestic,10.790595,41,2015-08-24,2025-12-08,,,,,,,,,,,,,,,,,,,,"Performs abrasive blasting, surface preparation, and protective marine coating/painting on DDG construction. Public sources confirm its naval preservation/coatings capability, but the exact DDG compartment or coating system in the listed subaward is not disclosed.","https://industrialcorrosion.com/
https://industrialcorrosion.com/about-us/
https://govtribe.com/vendors/industrial-corrosion-control-inc-dot-icci-08aa4"
N6P1AGPMV456,333310,Commercial and Service Industry Machinery Manufacturing,,The Carlyle Group L P,EVAC NORTH AMERICA INC.,Domestic,10.717369,28,2013-06-06,2024-04-09,,,,,,,,,,,,,,,,,,,,"Supplies shock-resistant vacuum toilets, flush units, blackwater collection equipment, and sewage-pumping hardware for DDG-51 sanitary systems.","https://evac.com/products/evac-special-vacuum-toilets/
https://www.parttarget.com/4140-01-412-1563_4140014121563_7250019-002.html
https://www.wbparts.com/rfq/4720-01-463-1797.html"
ZA1KMNAJMVT3,336611,Ship Building and Repairing,,SURFACE TECHNOLOGIES CORPORATION,SURFACE TECHNOLOGIES CORPORATION,Domestic,10.670005,43,2015-06-18,2025-12-09,,,,,,,,,,,,,,,,,,,,Supplies and installs interior deck coverings/flooring on DDG-51 ships; a DDG construction subcontract is explicitly described as “deck covering.”,"https://www.highergov.com/subcontract/N0002413C2307-1074530-4/
https://govtribe.com/award/federal-contract-award/delivery-order-n4008423d0409-n6275826f0029"
TSCZLHCGNQ53,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,FILTRATION GROUP CORPORATION,FACET (OKLAHOMA) LLC,Domestic,10.453793,32,2013-06-27,2025-08-14,,,,,,,,,,,,,,,,,,,,"The DDG-128 subaward is a rebuy under ES012 11250, but public records do not identify the component. Facet/Filtration Group makes fuel-filtration, water-separation, and coalescer equipment; no reliable source was found matching a particular Facet model to this DDG line, so the exact role cannot be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-16098-0/
https://www.highergov.com/awardee/filtration-group-corporation-10007841/"
QYKAR7MJJXL7,336412,Aircraft Engine and Engine Parts Manufacturing,,MEGGITT PLC,"MEGGITT SAFETY SYSTEMS, INC.",Domestic,10.002726,16,2017-06-21,2025-11-24,,,,,,,,,,,,,,,,,,,,Supplies ionization smoke detectors for DDG-51 fire/alarm systems; the Navy identifies Meggitt P/N SAS-04398-01 as the sole approved source for the class.,"https://sam.gov/opp/ae2c10b8860c45d3999282bdceccd24a/view
https://www.wbparts.com/rfq/6350-01-347-8915.html"
EV4ZGUNNKMJ6,336611,Ship Building and Repairing,,"PACIFIC SHIP REPAIR & FABRICATION, INC.","PACIFIC SHIP REPAIR & FABRICATION, INC.",Domestic,9.916983,56,2013-08-26,2023-11-27,,,,,,,,,,,,,,,,,,,,"Performs maintenance, repair, alterations, and fabrication on DDG-51-class ships during availabilities. Public records confirm DDG-class repair work but do not specify a new-construction component.","https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-62739
https://govtribe.com/award/federal-contract-award/delivery-order-n0002418d4413-n4523a21f0570"
RMLGMBGNPCC8,333613,Mechanical Power Transmission Equipment Manufacturing,,"KINGSBURY, INC.","KINGSBURY, INC.",Domestic,9.869286,20,2013-06-28,2025-11-05,,,,,,,,,,,,,,,,,,,,"Supplies hydrodynamic thrust and journal bearings for DDG-51 propulsion shaft lines and rotating machinery. Public item data links a Kingsbury bearing-related assembly to the Arleigh Burke class, but the exact bearing set in this construction subaward is not disclosed.","https://www.kingsbury.com/marine/
https://www.parttarget.com/5330-01-513-4551_5330015134551_MID-7-511X561X22.html"
M4ANYAZ8Q6H8,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,Fortive Corporation,GEMS SENSORS INC.,Domestic,9.189821,37,2014-01-08,2025-10-09,,,,,,,,,,,,,,,,,,,,"Supplies tank liquid-level/quantity sensors, transmitters, receivers, and indicators for DDG-51 shipboard tanks and monitoring systems.","https://sam.gov/opp/f217d6eb8dbe4f34879112e6c02566c3/view
https://www.wbparts.com/rfq/6680-01-486-3871.html
https://www.highergov.com/idv/SPE4A620D0205/"
EVZMB1757DW5,332312,Fabricated Structural Metal Manufacturing,,"STEELFAB, INC.","STEELFAB, INC.",Domestic,8.702994,1,2022-05-16,2022-05-16,,,,,,,,,,,,,,,,,,,,"A DDG-51 subcontract is recorded for this UEI, but public sources reviewed do not identify the delivered item or work package. SteelFab is a structural-steel fabricator; without a source connecting a specific fabricated assembly to the DDG subaward, the role cannot be confirmed.","https://www.steelfab-inc.com/
https://app.g2xchange.com/companies/EVZMB1757DW5"
HWLGUR28KMS6,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",,APPLETON MARINE INC,APPLETON MARINE INC,Domestic,8.623162,13,2024-05-30,2025-10-03,,,,,,,,,,,,,,,,,,,,Supplies slewing-arm davits and deck machinery used to launch and recover small boats. Appleton is a Navy-contracted SLAD supplier; public sources reviewed do not identify the exact davit model or hull number covered by this listed DDG construction subaward.,"https://www.war.gov/News/Contracts/Contract/Article/606694/
https://quanticeng.com/contracts/"
C7QHHMJEALN1,331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,"MONROE CABLE COMPANY, INC., THE",Domestic,8.127782,2,2021-06-03,2022-06-02,,,,,,,,,,,,,,,,,,,,"Supplies shipboard electrical wire and cable for DDG-51 construction, including low-smoke/zero-halogen Navy cable families such as MIL-DTL-24643, MIL-DTL-24640, and MIL-DTL-915. The DDG subcontract description is simply “Cable,” so the exact specification and circuit are not public.","https://www.highergov.com/awardee/the-monroe-cable-company-inc-10014620/
https://monroecableusa.com/"
PJRYS7EFXQD9,332911,Industrial Valve Manufacturing,,,"B.N.L. INDUSTRIES, INC.",Domestic,7.772171,70,2014-01-22,2025-07-31,,,,,,,,,,,,,,,,,,,,Supplies marine ball valves and inline/twinline check valves for DDG-51 piping systems; BNL’s own catalog lists DDG-51 among supported Navy ship classes.,https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf
JA2KCX21NL48,336611,Ship Building and Repairing,,Wärtsilä Oyj Abp,"WARTSILA DEFENSE, INC.",Domestic,7.656098,52,2013-07-23,2026-02-02,,,,,,,,,,,,,,,,,,,,"This Chesapeake, Virginia Wartsila Defense entity is the U.S. engineering/manufacturing operation for naval shaft-line and propulsion products, including propellers and shaft, rudder, and stern-tube seals. Public sources support those product families, but do not identify the exact DDG-51 new-construction item in this subaward.","https://www.highergov.com/awardee/defense-maritime-solutions-inc-10119303/
https://govtribe.com/vendors/wartsila-defense-inc-dot-0eya6
https://www.wartsila.com/marine/products/propulsors-and-gears/seals-and-bearings"
H1PAVTLJBJ88,339999,All Other Miscellaneous Manufacturing,,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,TYCO FIRE PRODUCTS LP,Domestic,7.590678,24,2013-07-25,2022-01-17,,,,,,,,,,,,,,,,,,,,"The Marinette, Wisconsin Tyco Fire Products entity manufactures fire-suppression equipment and agents, including valves, nozzles, sprinklers, and foam-system products. Its exact DDG-51 shipset item is not publicly identified, so the role can only be confirmed at the fire-protection-system component level.","https://govtribe.com/vendors/tyco-fire-products-lp-tyco-fire-protection-products-03670
https://www.tyco-fire.com/"
D2J1SSHB5EB7,336612,Boat Building,,"Summa Holdings, Inc.",THE HELLAN STRAINER CO,Domestic,7.488798,37,2013-04-23,2025-10-30,,,,,,,,,,,,,,,,,,,,Supplies sediment-strainer elements and automatic backflushing strainers for DDG-51 fluid systems; NSN 4730-01-475-2135 identifies the Arleigh Burke class as an end product.,"https://www.highergov.com/nsn/4730014752135/
https://www.wbparts.com/rfq/4730-01-475-2135.html"
LFVJABJDQVZ9,423840,Industrial Supplies Merchant Wholesalers,,Pon Holdings B.V.,"W. & O. SUPPLY, INC.",Domestic,7.371545,31,2013-10-22,2021-11-10,,,,,,,,,,,,,,,,,,,,"Distributes marine valves, pipe/tube, fittings, strainers/filtration, and bulkhead-sealing products for DDG construction. Public item data links W&O-supplied demineralizer components to the Arleigh Burke class, but the exact material mix in this subaward is not disclosed.","https://www.highergov.com/subcontract/N0002418C2307-8899-0/
https://www.highergov.com/awardee/w-o-supply-inc-10409875/
https://www.parttarget.com/5330-01-469-6966_5330014696966_5346-040.html
https://www.census.gov/naics/2022NAICS/6-digit_2022_Codes.xlsx"
FLQJXSFMNQP6,332111,Iron and Steel Forging,,"BRANFORD CASTLE, INC","LISTER CHAIN AND FORGE, INC.",Domestic,7.334965,15,2013-07-31,2025-05-06,,,,,,,,,,,,,,,,,,,,Supplies forged Navy anchor chain and detachable connecting links/deck chain fittings for DDG-51 anchoring and mooring systems. The current DDG subcontract is documented; public sources do not disclose the chain size or grade.,"https://www.highergov.com/subcontract/N0002423C2307-19153-0/
https://www.shipserv.com/ShipServ/pages/profiles/200732/specsheets/0114SS0619w.pdf"
EDNNTCM7SUS8,336611,Ship Building and Repairing,,CARLYLE HOLDING CORP,"IMIA, LLC",Domestic,7.147031,26,2014-10-10,2026-01-23,,,,,,,,,,,,,,,,,,,,"Performs ship preservation—abrasive blasting, surface preparation, and application/removal of protective coatings—plus structural repair support for Navy vessels. Public sources do not identify the specific DDG-51 compartment or coating work package in this subaward.","https://www.imiallc.com/services/preservation/
https://www.imiallc.com/
https://www.virginiashiprepair.org/MemberProfile/81/IMIA-LLC"
MMDRDDVELDX8,332911,Industrial Valve Manufacturing,,DANTE VALVE COMPANY,DANTE VALVE COMPANY,Domestic,6.992562,71,2013-07-26,2025-09-24,,,,,,,,,,,,,,,,,,,,Supplies nonpowered shipboard valves—such as globe/stop/check and relief-valve assemblies and replacement parts—for DDG-51 fluid systems. Public NSN data identifies multiple Dante valve models with the Arleigh Burke class as the end item.,"https://www.parttarget.com/4820-01-221-2045_4820012212045_D50UU-06-1-1-4-IN.html
https://www.parttarget.com/4820-01-326-5839_4820013265839_BASAA05SBB-A030.html"
MDH6KH9D4SG7,335313,Switchgear and Switchboard Apparatus Manufacturing,,SCHNEIDER ELECTRIC SE,"ASCO POWER TECHNOLOGIES, L.P.",Domestic,6.832499,14,2013-07-30,2023-09-27,,,,,,,,,,,,,,,,,,,,"Supplies automatic bus-transfer-switch assemblies and internal electrical parts, including power transformers and switch components, used in DDG-51 shipboard distribution. Public NSN records identify ASCO ABT components for the class.","https://www.parttarget.com/5950-01-483-6849_5950014836849_621552-001.html
https://www.parttarget.com/5999-01-513-9080_5999015139080_625604.html"
ZLM5NQE8LSR8,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,"Octopus Industries, Inc.","IMECO, INC.",Domestic,6.774547,13,2013-07-31,2020-12-01,,,,,,,,,,,,,,,,,,,,"IMECO’s Marinette operation engineers and integrates marine HVAC, electrical, and machinery packages. A Navy notice linked to this UEI identifies a motor-and-brake assembly, but public sources do not disclose which DDG-51 shipboard system the subaward supported.","https://app.g2xchange.com/companies/ZLM5NQE8LSR8
https://sam.gov/workspace/contract/opp/d3c56ec516cd4c89ac4f30d7b8eb6258/view
https://www.imeco.com/"
D44RA79E3K57,332710,Machine Shops,,,PRECISION PRODUCTS INC,Domestic,6.573693,52,2013-06-26,2025-09-30,,,,,,,,,,,,,,,,,,,,,
JU2ME5ZK8VL3,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,"MMC METROLOGY LAB, INC",Domestic,6.220216,45,2013-05-14,2025-07-11,,,,,,,,,,,,,,,,,,,,,
XJTAAHL58NB6,336611,Ship Building and Repairing,,"EASTERN SHIPBUILDING GROUP, INC.","EASTERN SHIPBUILDING GROUP, INC.",Domestic,5.649605,3,2025-03-07,2025-09-08,,,,,,,,,,,,,,,,,,,,,
WMXDDH6HJNA5,336611,Ship Building and Repairing,,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INCORPORATED,Domestic,5.581611,9,2013-06-21,2017-08-08,,,,,,,,,,,,,,,,,,,,,
E3YNKWRANZ18,332410,Power Boiler and Heat Exchanger Manufacturing,,"AQUA-CHEM, INC.","AQUA-CHEM, INC.",Domestic,5.513503,13,2013-07-15,2024-04-30,,,,,,,,,,,,,,,,,,,,,
PNLJW4UFU1A8,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,"MARK C. POPE ASSOCIATES, INC.","MARK C. POPE ASSOCIATES, INC.",Domestic,5.346139,12,2020-01-10,2025-12-19,,,,,,,,,,,,,,,,,,,,,
JRHJJRY6DWK3,332321,Metal Window and Door Manufacturing,,,"CORNELL-CARR CO., INC.",Domestic,5.332148,32,2013-04-18,2025-11-26,,,,,,,,,,,,,,,,,,,,,
GCUTMML7MHH3,,n/a (no SAM record),,,South Florida Van Lines Inc,Domestic,5.228932,9,2013-06-26,2014-06-05,,,,,,,,,,,,,,,,,,,,,
S1LJCH88WHT5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,W.R. DAVIS ENGINEERING LIMITED,Foreign,5.206753,12,2013-07-24,2020-12-14,,,,,,,,,,,,,,,,,,,,,
NN7PCHZFNZP8,331513,Steel Foundries (except Investment),,,GOODWIN STEEL CASTINGS LIMITED,Foreign,5.074493,2,2024-12-20,2025-01-30,,,,,,,,,,,,,,,,,,,,,
L2EDH4DX27J5,332911,Industrial Valve Manufacturing,,WILLIAM E WILLIAMS VALVE CORP,"WILLIAM E WILLIAMS, VALVE CORP",Domestic,5.06986,41,2014-05-16,2025-08-26,,,,,,,,,,,,,,,,,,,,,
H2VUYH8JMBY9,333995,Fluid Power Cylinder and Actuator Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,Domestic,4.983285,6,2013-07-31,2021-05-27,,,,,,,,,,,,,,,,,,,,,
Z9P3GJBTJUT5,332313,Plate Work Manufacturing,,RELIANCE STEEL & ALUMINUM CO.,"METALS USA PLATES AND SHAPES, INC.",Domestic,4.922836,1,2021-11-01,2021-11-01,,,,,,,,,,,,,,,,,,,,,
FFZLXPAQCMD8,332321,Metal Window and Door Manufacturing,,WHITING DOOR MANUFACTURING CORP.,WHITING DOOR MANUFACTURING CORP.,Domestic,4.849816,26,2016-06-13,2025-12-11,,,,,,,,,,,,,,,,,,,,,
C1B6X8AADFB1,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,"COMSACO, INC.",Domestic,4.595474,15,2015-11-03,2025-03-14,,,,,,,,,,,,,,,,,,,,,
LGVPVLMRHH51,423840,Industrial Supplies Merchant Wholesalers,,Houdstermaatschappij Wilg B.V.,"W. & O. SUPPLY, INC.",Domestic,4.457876,30,2013-11-14,2025-09-26,,,,,,,,,,,,,,,,,,,,,
F3XKPA82MHQ5,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,"NAG, LLC","NAG, LLC",Domestic,4.378711,15,2014-10-17,2023-08-08,,,,,,,,,,,,,,,,,,,,,
NYGUEDY27AM8,332911,Industrial Valve Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Domestic,4.147527,8,2023-03-13,2025-05-28,,,,,,,,,,,,,,,,,,,,,
QVTKQ7LJE196,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,LIDGERWOOD MANUFACTURING COMPANY (INC),M. T. DAVIDSON COMPANY,Domestic,3.985561,27,2013-06-25,2024-12-20,,,,,,,,,,,,,,,,,,,,,
D3QEMKB2X4N5,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,LEXAIR INC,Domestic,3.843087,2,2023-09-15,2025-05-15,,,,,,,,,,,,,,,,,,,,,
UK6NAHCH8459,335313,Switchgear and Switchboard Apparatus Manufacturing,,,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",Domestic,3.752399,20,2013-07-15,2025-12-04,,,,,,,,,,,,,,,,,,,,,
RJGEKQDTZKT8,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,,Heh Holdings LLC,"ELECTRIC HEATER COMPANY, THE",Domestic,3.749262,18,2013-07-22,2024-08-16,,,,,,,,,,,,,,,,,,,,,
Y9LLF354DH36,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,"BIRD-JOHNSON PROPELLER COMPANY, LLC","BIRD-JOHNSON PROPELLER COMPANY, LLC",Domestic,3.698282,1,2001-10-22,2001-10-22,,,,,,,,,,,,,,,,,,,,,
