Subaward Report ID,Prime PIID,Builder,Original Candidate Hulls,Timing Candidate Hulls,Timing Candidate Count,Candidate Stages,Stage Consensus Flag,Narrowing Result,Lifecycle Confidence,Lifecycle Attribution Scope,Assigned Hull
20699743,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699744,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699745,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699746,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699747,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699748,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699749,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699750,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699751,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699752,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699753,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699754,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699755,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699756,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699757,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699759,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699760,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699761,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699762,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699763,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699764,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699765,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699766,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699767,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699769,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699770,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699771,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699772,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699773,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699774,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699775,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699776,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699777,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699778,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699779,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699780,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699781,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699782,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699783,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699784,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699785,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699786,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699787,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699788,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699789,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699790,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699791,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699792,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699793,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,5,Construction / Long-lead,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699794,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699795,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699796,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699797,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699798,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699799,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,5,Construction / Long-lead / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699800,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699801,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699802,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699803,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699804,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
29261009,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29261018,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29261031,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29261077,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29277110,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29437695,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29437696,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29437708,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
29484091,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699805,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 123 / DDG 125,2,Outfit / test,TRUE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699806,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 119 / DDG 121 / DDG 123 / DDG 125,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699809,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 117 / DDG 119 / DDG 121 / DDG 123,4,Long-lead,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699810,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Construction / Long-lead / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699811,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Construction / Long-lead / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699812,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Construction / Long-lead / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699813,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,5,Construction / Long-lead / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699814,N0002413C2307,HII-Ingalls,DDG 117 / DDG 119 / DDG 121 / DDG 123 / DDG 125,DDG 121 / DDG 123 / DDG 125,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
