Subaward Report ID,Prime PIID,Original Hull Confidence,Candidate Hull,Builder,Subaward Date,Candidate Hull Stage on Date,Window Match Flag,Date Source Confidence,Lifecycle Confidence,Include as Timing Candidate?,Reason
20699714,N0002413C2305,C,DDG 122,GD-BIW,2022-07-21,Outfit / test,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 122 outfit / test window (post-launch)
20699714,N0002413C2305,C,DDG 124,GD-BIW,2022-07-21,Construction,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 124 construction window
20699714,N0002413C2305,C,DDG 126,GD-BIW,2022-07-21,Construction,TRUE,Projected,Low,TRUE,Jul 2022 within DDG 126 construction window
20699714,N0002413C2305,C,DDG 127,GD-BIW,2022-07-21,Construction,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 127 construction window
20699716,N0002413C2305,D,DDG 118,GD-BIW,2021-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2021 after DDG 118 delivery - outside core build
20699716,N0002413C2305,D,DDG 122,GD-BIW,2021-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 122 construction window
20699716,N0002413C2305,D,DDG 124,GD-BIW,2021-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 124 construction window
20699716,N0002413C2305,D,DDG 126,GD-BIW,2021-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2021 within DDG 126 construction window
20699716,N0002413C2305,D,DDG 127,GD-BIW,2021-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 127 construction window
20699717,N0002413C2305,D,DDG 118,GD-BIW,2023-06-02,Post-delivery,FALSE,Actual,Low,FALSE,Jun 2023 after DDG 118 delivery - outside core build
20699717,N0002413C2305,D,DDG 122,GD-BIW,2023-06-02,Outfit / test,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 122 outfit / test window (post-launch)
20699717,N0002413C2305,D,DDG 124,GD-BIW,2023-06-02,Construction,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 124 construction window
20699717,N0002413C2305,D,DDG 126,GD-BIW,2023-06-02,Construction,TRUE,Projected,Low,TRUE,Jun 2023 within DDG 126 construction window
20699717,N0002413C2305,D,DDG 127,GD-BIW,2023-06-02,Construction,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 127 construction window
20699718,N0002413C2305,D,DDG 118,GD-BIW,2022-01-07,Post-delivery,FALSE,Actual,Low,FALSE,Jan 2022 after DDG 118 delivery - outside core build
20699718,N0002413C2305,D,DDG 122,GD-BIW,2022-01-07,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 122 construction window
20699718,N0002413C2305,D,DDG 124,GD-BIW,2022-01-07,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 124 construction window
20699718,N0002413C2305,D,DDG 126,GD-BIW,2022-01-07,Construction,TRUE,Projected,Low,TRUE,Jan 2022 within DDG 126 construction window
20699718,N0002413C2305,D,DDG 127,GD-BIW,2022-01-07,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 127 construction window
20699719,N0002413C2305,D,DDG 118,GD-BIW,2022-10-24,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699719,N0002413C2305,D,DDG 122,GD-BIW,2022-10-24,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699719,N0002413C2305,D,DDG 124,GD-BIW,2022-10-24,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699719,N0002413C2305,D,DDG 126,GD-BIW,2022-10-24,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699719,N0002413C2305,D,DDG 127,GD-BIW,2022-10-24,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699720,N0002413C2305,D,DDG 118,GD-BIW,2022-10-24,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699720,N0002413C2305,D,DDG 122,GD-BIW,2022-10-24,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699720,N0002413C2305,D,DDG 124,GD-BIW,2022-10-24,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699720,N0002413C2305,D,DDG 126,GD-BIW,2022-10-24,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699720,N0002413C2305,D,DDG 127,GD-BIW,2022-10-24,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699721,N0002413C2305,D,DDG 118,GD-BIW,2021-12-10,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2021 after DDG 118 delivery - outside core build
20699721,N0002413C2305,D,DDG 122,GD-BIW,2021-12-10,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 122 construction window
20699721,N0002413C2305,D,DDG 124,GD-BIW,2021-12-10,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 124 construction window
20699721,N0002413C2305,D,DDG 126,GD-BIW,2021-12-10,Construction,TRUE,Projected,Low,TRUE,Dec 2021 within DDG 126 construction window
20699721,N0002413C2305,D,DDG 127,GD-BIW,2021-12-10,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 127 construction window
20699722,N0002413C2305,C,DDG 118,GD-BIW,2022-12-02,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2022 after DDG 118 delivery - outside core build
20699722,N0002413C2305,C,DDG 122,GD-BIW,2022-12-02,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2022 within DDG 122 outfit / test window (post-launch)
20699722,N0002413C2305,C,DDG 124,GD-BIW,2022-12-02,Construction,TRUE,Actual,Low,TRUE,Dec 2022 within DDG 124 construction window
20699722,N0002413C2305,C,DDG 126,GD-BIW,2022-12-02,Construction,TRUE,Projected,Low,TRUE,Dec 2022 within DDG 126 construction window
20699722,N0002413C2305,C,DDG 127,GD-BIW,2022-12-02,Construction,TRUE,Actual,Low,TRUE,Dec 2022 within DDG 127 construction window
20699723,N0002413C2305,D,DDG 118,GD-BIW,2022-03-04,Post-delivery,FALSE,Actual,Low,FALSE,Mar 2022 after DDG 118 delivery - outside core build
20699723,N0002413C2305,D,DDG 122,GD-BIW,2022-03-04,Construction,TRUE,Actual,Low,TRUE,Mar 2022 within DDG 122 construction window
20699723,N0002413C2305,D,DDG 124,GD-BIW,2022-03-04,Construction,TRUE,Actual,Low,TRUE,Mar 2022 within DDG 124 construction window
20699723,N0002413C2305,D,DDG 126,GD-BIW,2022-03-04,Construction,TRUE,Projected,Low,TRUE,Mar 2022 within DDG 126 construction window
20699723,N0002413C2305,D,DDG 127,GD-BIW,2022-03-04,Construction,TRUE,Actual,Low,TRUE,Mar 2022 within DDG 127 construction window
20699724,N0002413C2305,D,DDG 118,GD-BIW,2023-04-17,Post-delivery,FALSE,Actual,Low,FALSE,Apr 2023 after DDG 118 delivery - outside core build
20699724,N0002413C2305,D,DDG 122,GD-BIW,2023-04-17,Outfit / test,TRUE,Actual,Low,TRUE,Apr 2023 within DDG 122 outfit / test window (post-launch)
20699724,N0002413C2305,D,DDG 124,GD-BIW,2023-04-17,Construction,TRUE,Actual,Low,TRUE,Apr 2023 within DDG 124 construction window
20699724,N0002413C2305,D,DDG 126,GD-BIW,2023-04-17,Construction,TRUE,Projected,Low,TRUE,Apr 2023 within DDG 126 construction window
20699724,N0002413C2305,D,DDG 127,GD-BIW,2023-04-17,Construction,TRUE,Actual,Low,TRUE,Apr 2023 within DDG 127 construction window
20699725,N0002413C2305,D,DDG 118,GD-BIW,2024-10-01,Post-delivery,FALSE,Actual,Medium,FALSE,Oct 2024 after DDG 118 delivery - outside core build
20699725,N0002413C2305,D,DDG 122,GD-BIW,2024-10-01,Post-delivery,FALSE,Actual,Medium,FALSE,Oct 2024 after DDG 122 delivery - outside core build
20699725,N0002413C2305,D,DDG 124,GD-BIW,2024-10-01,Outfit / test,TRUE,Actual,Medium,TRUE,Oct 2024 within DDG 124 outfit / test window (post-launch)
20699725,N0002413C2305,D,DDG 126,GD-BIW,2024-10-01,Construction,TRUE,Projected,Medium,TRUE,Oct 2024 within DDG 126 construction window
20699725,N0002413C2305,D,DDG 127,GD-BIW,2024-10-01,Outfit / test,TRUE,Actual,Medium,TRUE,Oct 2024 within DDG 127 outfit / test window (post-launch)
20699726,N0002413C2305,D,DDG 118,GD-BIW,2022-01-27,Post-delivery,FALSE,Actual,Low,FALSE,Jan 2022 after DDG 118 delivery - outside core build
20699726,N0002413C2305,D,DDG 122,GD-BIW,2022-01-27,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 122 construction window
20699726,N0002413C2305,D,DDG 124,GD-BIW,2022-01-27,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 124 construction window
20699726,N0002413C2305,D,DDG 126,GD-BIW,2022-01-27,Construction,TRUE,Projected,Low,TRUE,Jan 2022 within DDG 126 construction window
20699726,N0002413C2305,D,DDG 127,GD-BIW,2022-01-27,Construction,TRUE,Actual,Low,TRUE,Jan 2022 within DDG 127 construction window
20699727,N0002413C2305,D,DDG 118,GD-BIW,2023-10-09,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2023 after DDG 118 delivery - outside core build
20699727,N0002413C2305,D,DDG 122,GD-BIW,2023-10-09,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2023 within DDG 122 outfit / test window (post-launch)
20699727,N0002413C2305,D,DDG 124,GD-BIW,2023-10-09,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2023 within DDG 124 outfit / test window (post-launch)
20699727,N0002413C2305,D,DDG 126,GD-BIW,2023-10-09,Construction,TRUE,Projected,Low,TRUE,Oct 2023 within DDG 126 construction window
20699727,N0002413C2305,D,DDG 127,GD-BIW,2023-10-09,Construction,TRUE,Actual,Low,TRUE,Oct 2023 within DDG 127 construction window
20699728,N0002413C2305,D,DDG 118,GD-BIW,2024-10-01,Post-delivery,FALSE,Actual,Medium,FALSE,Oct 2024 after DDG 118 delivery - outside core build
20699728,N0002413C2305,D,DDG 122,GD-BIW,2024-10-01,Post-delivery,FALSE,Actual,Medium,FALSE,Oct 2024 after DDG 122 delivery - outside core build
20699728,N0002413C2305,D,DDG 124,GD-BIW,2024-10-01,Outfit / test,TRUE,Actual,Medium,TRUE,Oct 2024 within DDG 124 outfit / test window (post-launch)
20699728,N0002413C2305,D,DDG 126,GD-BIW,2024-10-01,Construction,TRUE,Projected,Medium,TRUE,Oct 2024 within DDG 126 construction window
20699728,N0002413C2305,D,DDG 127,GD-BIW,2024-10-01,Outfit / test,TRUE,Actual,Medium,TRUE,Oct 2024 within DDG 127 outfit / test window (post-launch)
20699729,N0002413C2305,D,DDG 118,GD-BIW,2024-08-30,Post-delivery,FALSE,Actual,Medium,FALSE,Aug 2024 after DDG 118 delivery - outside core build
20699729,N0002413C2305,D,DDG 122,GD-BIW,2024-08-30,Post-delivery,FALSE,Actual,Medium,FALSE,Aug 2024 after DDG 122 delivery - outside core build
20699729,N0002413C2305,D,DDG 124,GD-BIW,2024-08-30,Outfit / test,TRUE,Actual,Medium,TRUE,Aug 2024 within DDG 124 outfit / test window (post-launch)
20699729,N0002413C2305,D,DDG 126,GD-BIW,2024-08-30,Construction,TRUE,Projected,Medium,TRUE,Aug 2024 within DDG 126 construction window
20699729,N0002413C2305,D,DDG 127,GD-BIW,2024-08-30,Construction,TRUE,Actual,Medium,TRUE,Aug 2024 within DDG 127 construction window
20699730,N0002413C2305,D,DDG 118,GD-BIW,2022-06-29,Post-delivery,FALSE,Actual,Low,FALSE,Jun 2022 after DDG 118 delivery - outside core build
20699730,N0002413C2305,D,DDG 122,GD-BIW,2022-06-29,Outfit / test,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 122 outfit / test window (post-launch)
20699730,N0002413C2305,D,DDG 124,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 124 construction window
20699730,N0002413C2305,D,DDG 126,GD-BIW,2022-06-29,Construction,TRUE,Projected,Low,TRUE,Jun 2022 within DDG 126 construction window
20699730,N0002413C2305,D,DDG 127,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 127 construction window
20699731,N0002413C2305,C,DDG 118,GD-BIW,2022-06-29,Post-delivery,FALSE,Actual,Low,FALSE,Jun 2022 after DDG 118 delivery - outside core build
20699731,N0002413C2305,C,DDG 122,GD-BIW,2022-06-29,Outfit / test,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 122 outfit / test window (post-launch)
20699731,N0002413C2305,C,DDG 124,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 124 construction window
20699731,N0002413C2305,C,DDG 126,GD-BIW,2022-06-29,Construction,TRUE,Projected,Low,TRUE,Jun 2022 within DDG 126 construction window
20699731,N0002413C2305,C,DDG 127,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 127 construction window
20699732,N0002413C2305,D,DDG 118,GD-BIW,2022-06-29,Post-delivery,FALSE,Actual,Low,FALSE,Jun 2022 after DDG 118 delivery - outside core build
20699732,N0002413C2305,D,DDG 122,GD-BIW,2022-06-29,Outfit / test,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 122 outfit / test window (post-launch)
20699732,N0002413C2305,D,DDG 124,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 124 construction window
20699732,N0002413C2305,D,DDG 126,GD-BIW,2022-06-29,Construction,TRUE,Projected,Low,TRUE,Jun 2022 within DDG 126 construction window
20699732,N0002413C2305,D,DDG 127,GD-BIW,2022-06-29,Construction,TRUE,Actual,Low,TRUE,Jun 2022 within DDG 127 construction window
20699733,N0002413C2305,D,DDG 118,GD-BIW,2023-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2023 after DDG 118 delivery - outside core build
20699733,N0002413C2305,D,DDG 122,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 122 outfit / test window (post-launch)
20699733,N0002413C2305,D,DDG 124,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 124 outfit / test window (post-launch)
20699733,N0002413C2305,D,DDG 126,GD-BIW,2023-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2023 within DDG 126 construction window
20699733,N0002413C2305,D,DDG 127,GD-BIW,2023-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 127 construction window
20699734,N0002413C2305,D,DDG 118,GD-BIW,2023-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2023 after DDG 118 delivery - outside core build
20699734,N0002413C2305,D,DDG 122,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 122 outfit / test window (post-launch)
20699734,N0002413C2305,D,DDG 124,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 124 outfit / test window (post-launch)
20699734,N0002413C2305,D,DDG 126,GD-BIW,2023-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2023 within DDG 126 construction window
20699734,N0002413C2305,D,DDG 127,GD-BIW,2023-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 127 construction window
20699735,N0002413C2305,D,DDG 118,GD-BIW,2023-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2023 after DDG 118 delivery - outside core build
20699735,N0002413C2305,D,DDG 122,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 122 outfit / test window (post-launch)
20699735,N0002413C2305,D,DDG 124,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 124 outfit / test window (post-launch)
20699735,N0002413C2305,D,DDG 126,GD-BIW,2023-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2023 within DDG 126 construction window
20699735,N0002413C2305,D,DDG 127,GD-BIW,2023-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 127 construction window
20699736,N0002413C2305,D,DDG 118,GD-BIW,2023-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2023 after DDG 118 delivery - outside core build
20699736,N0002413C2305,D,DDG 122,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 122 outfit / test window (post-launch)
20699736,N0002413C2305,D,DDG 124,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 124 outfit / test window (post-launch)
20699736,N0002413C2305,D,DDG 126,GD-BIW,2023-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2023 within DDG 126 construction window
20699736,N0002413C2305,D,DDG 127,GD-BIW,2023-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 127 construction window
20699737,N0002413C2305,D,DDG 118,GD-BIW,2023-12-20,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2023 after DDG 118 delivery - outside core build
20699737,N0002413C2305,D,DDG 122,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 122 outfit / test window (post-launch)
20699737,N0002413C2305,D,DDG 124,GD-BIW,2023-12-20,Outfit / test,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 124 outfit / test window (post-launch)
20699737,N0002413C2305,D,DDG 126,GD-BIW,2023-12-20,Construction,TRUE,Projected,Low,TRUE,Dec 2023 within DDG 126 construction window
20699737,N0002413C2305,D,DDG 127,GD-BIW,2023-12-20,Construction,TRUE,Actual,Low,TRUE,Dec 2023 within DDG 127 construction window
20699738,N0002413C2305,D,DDG 118,GD-BIW,2022-10-13,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699738,N0002413C2305,D,DDG 122,GD-BIW,2022-10-13,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699738,N0002413C2305,D,DDG 124,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699738,N0002413C2305,D,DDG 126,GD-BIW,2022-10-13,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699738,N0002413C2305,D,DDG 127,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699739,N0002413C2305,D,DDG 118,GD-BIW,2022-10-13,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699739,N0002413C2305,D,DDG 122,GD-BIW,2022-10-13,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699739,N0002413C2305,D,DDG 124,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699739,N0002413C2305,D,DDG 126,GD-BIW,2022-10-13,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699739,N0002413C2305,D,DDG 127,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699740,N0002413C2305,D,DDG 118,GD-BIW,2024-08-26,Post-delivery,FALSE,Actual,Medium,FALSE,Aug 2024 after DDG 118 delivery - outside core build
20699740,N0002413C2305,D,DDG 122,GD-BIW,2024-08-26,Post-delivery,FALSE,Actual,Medium,FALSE,Aug 2024 after DDG 122 delivery - outside core build
20699740,N0002413C2305,D,DDG 124,GD-BIW,2024-08-26,Outfit / test,TRUE,Actual,Medium,TRUE,Aug 2024 within DDG 124 outfit / test window (post-launch)
20699740,N0002413C2305,D,DDG 126,GD-BIW,2024-08-26,Construction,TRUE,Projected,Medium,TRUE,Aug 2024 within DDG 126 construction window
20699740,N0002413C2305,D,DDG 127,GD-BIW,2024-08-26,Construction,TRUE,Actual,Medium,TRUE,Aug 2024 within DDG 127 construction window
20699741,N0002413C2305,D,DDG 118,GD-BIW,2021-12-15,Post-delivery,FALSE,Actual,Low,FALSE,Dec 2021 after DDG 118 delivery - outside core build
20699741,N0002413C2305,D,DDG 122,GD-BIW,2021-12-15,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 122 construction window
20699741,N0002413C2305,D,DDG 124,GD-BIW,2021-12-15,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 124 construction window
20699741,N0002413C2305,D,DDG 126,GD-BIW,2021-12-15,Construction,TRUE,Projected,Low,TRUE,Dec 2021 within DDG 126 construction window
20699741,N0002413C2305,D,DDG 127,GD-BIW,2021-12-15,Construction,TRUE,Actual,Low,TRUE,Dec 2021 within DDG 127 construction window
20699742,N0002413C2305,D,DDG 118,GD-BIW,2022-10-13,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699742,N0002413C2305,D,DDG 122,GD-BIW,2022-10-13,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699742,N0002413C2305,D,DDG 124,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699742,N0002413C2305,D,DDG 126,GD-BIW,2022-10-13,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699742,N0002413C2305,D,DDG 127,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699743,N0002413C2305,D,DDG 118,GD-BIW,2022-10-13,Post-delivery,FALSE,Actual,Low,FALSE,Oct 2022 after DDG 118 delivery - outside core build
20699743,N0002413C2305,D,DDG 122,GD-BIW,2022-10-13,Outfit / test,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 122 outfit / test window (post-launch)
20699743,N0002413C2305,D,DDG 124,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 124 construction window
20699743,N0002413C2305,D,DDG 126,GD-BIW,2022-10-13,Construction,TRUE,Projected,Low,TRUE,Oct 2022 within DDG 126 construction window
20699743,N0002413C2305,D,DDG 127,GD-BIW,2022-10-13,Construction,TRUE,Actual,Low,TRUE,Oct 2022 within DDG 127 construction window
20699744,N0002413C2305,D,DDG 118,GD-BIW,2023-06-21,Post-delivery,FALSE,Actual,Low,FALSE,Jun 2023 after DDG 118 delivery - outside core build
20699744,N0002413C2305,D,DDG 122,GD-BIW,2023-06-21,Outfit / test,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 122 outfit / test window (post-launch)
20699744,N0002413C2305,D,DDG 124,GD-BIW,2023-06-21,Construction,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 124 construction window
20699744,N0002413C2305,D,DDG 126,GD-BIW,2023-06-21,Construction,TRUE,Projected,Low,TRUE,Jun 2023 within DDG 126 construction window
20699744,N0002413C2305,D,DDG 127,GD-BIW,2023-06-21,Construction,TRUE,Actual,Low,TRUE,Jun 2023 within DDG 127 construction window
20699745,N0002413C2305,D,DDG 118,GD-BIW,2024-11-24,Post-delivery,FALSE,Actual,Medium,FALSE,Nov 2024 after DDG 118 delivery - outside core build
20699745,N0002413C2305,D,DDG 122,GD-BIW,2024-11-24,Post-delivery,FALSE,Actual,Medium,FALSE,Nov 2024 after DDG 122 delivery - outside core build
20699745,N0002413C2305,D,DDG 124,GD-BIW,2024-11-24,Outfit / test,TRUE,Actual,Medium,TRUE,Nov 2024 within DDG 124 outfit / test window (post-launch)
20699745,N0002413C2305,D,DDG 126,GD-BIW,2024-11-24,Construction,TRUE,Projected,Medium,TRUE,Nov 2024 within DDG 126 construction window
20699745,N0002413C2305,D,DDG 127,GD-BIW,2024-11-24,Outfit / test,TRUE,Actual,Medium,TRUE,Nov 2024 within DDG 127 outfit / test window (post-launch)
20699746,N0002413C2305,D,DDG 118,GD-BIW,2022-09-26,Post-delivery,FALSE,Actual,Low,FALSE,Sep 2022 after DDG 118 delivery - outside core build
20699746,N0002413C2305,D,DDG 122,GD-BIW,2022-09-26,Outfit / test,TRUE,Actual,Low,TRUE,Sep 2022 within DDG 122 outfit / test window (post-launch)
20699746,N0002413C2305,D,DDG 124,GD-BIW,2022-09-26,Construction,TRUE,Actual,Low,TRUE,Sep 2022 within DDG 124 construction window
20699746,N0002413C2305,D,DDG 126,GD-BIW,2022-09-26,Construction,TRUE,Projected,Low,TRUE,Sep 2022 within DDG 126 construction window
20699746,N0002413C2305,D,DDG 127,GD-BIW,2022-09-26,Construction,TRUE,Actual,Low,TRUE,Sep 2022 within DDG 127 construction window
20699747,N0002413C2305,D,DDG 118,GD-BIW,2023-08-24,Post-delivery,FALSE,Actual,Low,FALSE,Aug 2023 after DDG 118 delivery - outside core build
20699747,N0002413C2305,D,DDG 122,GD-BIW,2023-08-24,Outfit / test,TRUE,Actual,Low,TRUE,Aug 2023 within DDG 122 outfit / test window (post-launch)
