Program,Subawardee UEI,Capability Domain (D),Primary Output (P),Capability Domain Note,Primary Output Note
DDG,F42BKS7EHCL8,D3,P2,"Naval power-conversion electronics, transformers and power supplies are electrical power hardware.

https://govtribe.com/vendors/ems-development-corporation-51435
https://www.actpower.com/blog/naval-power-supplies-advanced-conversion-technology/",Transformers/power supplies are finished components (P2). NAICS 334416 (capacitor/transformer). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,FCK2D4PSV1L2,D4,P3,"Blackmer pumps and related relief-valve kits are fluid-system hardware.

https://www.blackmerpumps.com/products/451415-relief-valve
https://www.psgdover.com/blackmer/products/ancillary-equipment/air-valve-kits","Blackmer pumps and relief-valve pump hardware are functional fluid-handling units.

https://www.psgdover.com/docs/default-source/blackmer-docs/parts-lists/103-a12.pdf
https://www.psgdover.com/blackmer"
DDG,FG7CGCHSNML9,D0,P0,"Security-screening product line lacks a credible DDG ship-construction technical role.

https://www.leidos.com/insights/leidos-acquire-l3harris-technologies-security-detection-and-automation-businesses
https://us-indiaacp.com/downloads/member-profile/l3-.pdf","The entity’s known security-screening product line has no credible DDG-51 ship-construction role.

https://www.leidos.com/products/security-detection
https://www.asap-aerospace.com/rfq/l-3-communications-corporation/6350001316579/ich8d3/"
DDG,FGNQE3RF1FK5,D4,P3,"Butterfly/gate valves and replacement parts control shipboard piping systems.

https://www.morpac.com/actuators/valves/valve-90-degree.shtml
https://jamoody.com/exclusive-nationwide-repair-center-for-morpac-navy-actuators/","Butterfly/gate valve assemblies are functional fluid-control equipment, even when shipped with replacement parts.

https://www.wbparts.com/rfq/4810-01-420-7947.html
https://www.parttarget.com/Morpac-Industries-Inc_nsn-parts_10015-1_10008-ITEM-2.html"
DDG,FLMQAKFEMG64,D5,P3,"Fuel immersion/flange heaters transfer heat into shipboard fuel systems.

https://indeeco.com/wp-content/uploads/2022/08/C21-2_-_Electric_Heaters_for_Naval_and_Marine_Applications.pdf
https://indeeco.com/news/2014/12/23/marine-heaters-for-military-use/","Fuel immersion/flange heaters with sensing/control hardware are functional heating equipment units.

https://indeeco.com/products/category/industrial/immersion-heaters/
https://indeeco.com/wp-content/uploads/2022/09/Electric_Immersion_Heater_Catalog.pdf
https://indeeco.com/products/industrial/specialty-heating/marine-heating/fluid-heating-equipment/"
DDG,FLQJXSFMNQP6,D9,P2,"Forged anchor chain and connecting links reflect a forging/material-process specialty.

https://listerchain.com/
https://listerchain.com/products-services/","Finished anchor chain, connecting links, and chain fittings are fit-ready anchoring/mooring components.

https://www.highergov.com/awardee/lister-chain-and-forge-inc-10005895/
https://magazines.marinelink.com/Magazines/MaritimeReporter/198902/content/long-outlook-shipbuilding-200910
https://magazines.marinelink.com/magazines/MaritimeReporter/199205/pdf/"
DDG,FRJQGQHDX4J3,D6,P3,"Secure tactical communications electronics are system-level communications equipment.

https://www.l3harris.com/all-capabilities/integrated-tactical-communication-systems
https://www.l3harris.com/all-capabilities/family-maritime-shipboard-terminals-mst",Secure tactical comms electronics are bounded functional equipment (P3). NAICS 334220. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,FZPYZ11SFNA6,D2,P3,"Philadelphia Gear main reduction gears transmit DDG-51 propulsive power.

https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships
https://www.philagear.com/industries/marine/military-marine/","Main reduction gears are acceptance-testable propulsion machinery; co-delivered gear shipsets do not create a configured P4 system.

https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships
https://www.timken.com/timken-world/powering-naval-ships-for-decades-of-service/
https://news.timken.com/2016-02-15-Timken-Receives-Gear-Contract-From-US-Department-of-Defense"
DDG,G78MQ69BN636,D7,P3,"Pressure switches, control panels and electromechanical parts are component-level instrumentation/electronics.

https://www.highergov.com/awardee/aircraft-appliances-and-equipment-limited-10112412/
https://aaeltd.com/lube-oil-filter-separator/
https://www.wbparts.com/rfq/5930-01-173-0824.html","Pressure switches/control panels/power panels are bounded electromechanical control or power units.

https://publications.gc.ca/collections/collection_2019/isde-ised/Iu41-9-1992-eng.pdf"
DDG,GKPGD2F1LKL5,D9,P1,"Large open-die forgings, shafts and rotors are material/process-specialty products.

https://www.ellwoodgroup.com/markets/marine
https://www.ellwoodcityforge.com/","Large open-die forgings/shaft or rotor forgings are unfinished inputs requiring downstream machining.

https://www.ellwoodcityforge.com/
https://www.ellwoodcityforge.com/products/shafts-and-rotors
https://www.ellwoodgroup.com/markets/marine"
DDG,GXPHJRVG9MR7,D3,P3,"Naval transformers, switchboards, load centers and power-conditioning equipment distribute ship service power.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/","Transformers, switchboards/load centers, and power-conditioning equipment are functional power-distribution units at handoff.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/"
DDG,H1PAVTLJBJ88,D4,P3,"Fire-suppression valves, nozzles, sprinklers and foam-system products control extinguishing fluids.

https://www.tyco-fire.com/products-and-solutions/sprinklers-nozzles-and-accessories
https://www.tyco-fire.com/products-and-solutions/valves-devices-and-components","Fire-protection valves, nozzles, sprinklers, and related components are functional suppression-system equipment at component level.

https://www.tyco-fire.com/
https://www.perimeter-solutions.com/wp-content/uploads/2022/01/PERI1135_Foam_Design_Manual_v5.pdf"
DDG,H4ZMPGLLZ8D9,D2,P2,"Propeller, intermediate and stern-tube shafting are propulsion power-transmission components.

https://collinsmachine.com/service/marine-shafting-components/
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/","Propeller, intermediate, and stern-tube shafts are finished shafting components installed into the propulsion line.

https://govtribe.com/vendors/artcraft-fabricators-inc-dot-collins-machine-works-3g600
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/"
DDG,HLE1E2KALJA5,D3,P3,"Naval specialty transformers and power-distribution equipment are ship-service electrical hardware.

https://www.l3harris.com/all-capabilities/marine-power-distribution
https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/","Naval transformers and power-distribution equipment are bounded functional electrical units.

https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers
https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards"
DDG,HLFDNJU7KXJ1,D3,P3,"Automatic transfer-switch and power-control modules distribute/protect electrical power.

https://www.usni.org/magazines/proceedings/2005/august/naval-systems-advanced-power-devices-fielded-fleet
https://www.parttarget.com/Bogue-Systems-Inc_nsn-parts_A-57289_DG-0245-01.html","Automatic transfer-switch/power-control assemblies are functional electrical-distribution equipment.

https://www.scribd.com/document/891084373/LM-Limited-Source-List-Dec-2018-20181211
https://boguesystems.com/"
DDG,HLVBPCA2LH41,D2,P2,"Controllable-pitch propeller hubs and oil-distribution boxes are propulsion/propulsor hardware.

https://www.highergov.com/idv/N6449820D4000/
https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx","Controllable-pitch propeller hub/oil-distribution-box work is delivered as fit-ready propulsor components, not a complete functional propulsion unit.

https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx
https://www.highergov.com/idv/N6449820D4000/
https://magazines.marinelink.com/Magazines/MaritimeReporter/198611/content/birdjohnson-powerful-propellers-201699"
DDG,HLVNZXU8EAM1,D3,P3,"60-Hz to 400-Hz conversion equipment and power magnetics convert/distribute ship service power.

https://www.marinelink.com/news/paragon-power-wins323122
https://govtribe.com/vendors/power-paragon-inc-dot-power-systems-group-04801","The ACFC-288 frequency converter is a bounded power-conversion unit that performs a defined electrical function.

https://www.marinelink.com/news/paragon-power-wins323122"
DDG,HNAECT5M9TM4,D0,P0,"No DDG item or single ship technical specialty is confirmed for this foreign entity.

https://www.europages.co.uk/companies/portugal/industrial-piping.html","No reliable source identifies a specific DDG-51 item or service for this UEI.

No reliable public URL source found for a DDG-51-specific deliverable."
DDG,HUK5MJK4MH39,D4,P3,"Regulating, pressure-reducing and control valves are fluid-control hardware.

https://www.fairbanksmorsedefense.com/solutions/valves/
https://dantevalve.com/blog/valves-ship-building-maintenance/","Regulating, control, and pressure-reducing valves are functional fluid-control equipment.

https://www.circor.com/brands/leslie-controls
https://www.circor.com/sites/default/files/imported-files/Regulator-Handbook-CIRCOR-Leslie-Controls.pdf
https://govtribe.com/vendors/leslie-controls-inc-dot-35795"
DDG,HWLGUR28KMS6,D8,P3,"Slewing-arm davits and boat launch/recovery gear are deck handling machinery.

https://www.appletonmarine.com/products/build-to-print/
https://www.appletonmarine.com/","Slewing-arm davits/deck machinery are bounded functional launch-and-recovery equipment.

https://www.appletonmarine.com/products/build-to-print/
https://govtribe.com/opportunity/federal-contract-opportunity/navy-standard-slewing-arm-davits-slads-supply-and-service-n6449819r4076
https://www.highergov.com/contract-opportunity/sources-sought-request-for-information-rfi-navy-n64498-24-rfpreq-pd-43-0205-r-fb00d/"
DDG,HYGLK2BNFKB3,D2,P3,"The entity’s differentiating competence is diesel-engine prime movers.

https://www.mtu-solutions.com/na/en/applications/power-generation/power-generation-products/diesel-generator-sets.html
https://www.mtu-solutions.com/na/en/applications/commercial-marine/system-solutions/marine-gensets.html",Diesel-engine prime movers are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,J1T1FEN3PWX6,D2,P3,"LM2500 gas turbines are DDG-51 main-propulsion engines.

https://www.geaerospace.com/news/press-releases/ge-aerospace-secures-orders-lm2500-marine-gas-turbines-power-next-generation-arleigh
https://www.surflant.usff.navy.mil/Organization/Operational-Forces/Destroyers/Destroyer-Ship-Class-DDG-Info-Page/","LM2500 gas turbines are bounded propulsion-engine units that perform a defined function once installed/connected.

https://www.geaerospace.com/news/press-releases/marine-industrial-engines/ge-delivers-lm2500-gas-turbines-us-navys-ddg-80-arleigh
https://www.surflant.usff.navy.mil/Organization/Operational-Forces/Destroyers/Destroyer-Ship-Class-DDG-Info-Page/"
DDG,J3AFGKXWYK73,D5,P3,"York operation is tied to shipboard HVAC/refrigeration equipment.

https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions
https://www.calnetix.com/newsroom/press-release/calnetix-technologies-supplies-key-components-for-new-u-s-navy-chiller-system/",HVAC/refrigeration chiller plants are bounded functional equipment (P3). Registry bucket=hvac; NAICS 333415. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,J645RTMFWMW1,D5,P3,"Heat-recovery evaporators/fresh-water generators are desalination/life-support equipment.

https://www.fairbanksmorsedefense.com/solutions/water-treatment-systems/
https://www.fairbanksmorsedefense.com/solutions/water-treatment-systems/heat-recovery-evaporators/","Fresh-water generator/evaporator units are bounded functional desalination equipment.

https://www.fairbanksmorsedefense.com/app/uploads/2025/07/M1007-1223-Water-Treatment-Product-Catalog-1.pdf"
DDG,JA2KCX21NL48,D2,P2,"Naval shaft-line, propeller, rudder and stern-tube seal products support propulsion.

https://www.wartsila.com/marine/products/shaft-line-solutions
https://www.wartsila.com/latinamer/media/03-09-2020-matthew-zirkle-joins-wartsila-defense-inc","Propellers, shaft seals, rudder seals, and stern-tube seals are fit-ready shaft-line/propulsion components.

https://www.wartsila.com/usa/media/local-news/27-04-2012-w%C3%A4rtsil%C3%A4-donates-controllable-pitch-propulsion-system-to-the-united-states-merchant-marine-academy
https://govtribe.com/opportunity/federal-contract-opportunity/major-overhaul-kit-for-ship-repair-spmym216q1326
https://www.highergov.com/contract-opportunity/mx-9-shaft-seal-assembly-n6883623q0295-k-7151d/"
DDG,JEP5GQGFPUL9,D4,P3,"Navy ball and specialty valves are ship-service fluid-system hardware.

https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://jamoody.com/inventory-item/navy-ball-valve/","Ship-service ball and specialty valves are functional fluid-control equipment.

https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://valvemagazine.com/news/vma-welcomes-portland-valve/
https://www.circorpt.com/defense-valve-refurbishment"
DDG,JLREE96WGKM5,D6,P3,"Aegis consoles/displays and Mk 41 launch-control modules are combat-system electronics.

https://www.leonardodrs.com/news/press-releases/leonardo-drs-receives-62m-contract-for-ship-based-vertical-launch-system-electronics/
https://www.afcea.org/signal-media/contracting/drs-laurel-technologies-producing-missile-launch-controls-navy","Aegis consoles/displays and VLS launch-control or power-supply modules are functional combat-system electronics units, not a full configured combat system.

https://seawaves.com/wp-content/uploads/2022/09/USN-Contracts-2020-1-1.pdf
https://www.leonardodrs.com/wp-content/uploads/2023/08/drs-catalog-2013-final-online.pdf
https://www.leonardodrs.com/what-we-do/products-and-services/"
DDG,JRUCKDSNXKD5,D8,P2,"Retractable mooring bitts are deck/mooring auxiliary machinery.

https://entwistleco.com/defense-products/shipboard-machinery-systems/
https://www.highergov.com/contract-opportunity/uss-forrest-sherman-retractable-bitt-kits-n5005422q0012-k-9bdf3/","Retractable mooring bitts are finished deck fittings/assemblies for installation, not standalone machinery or a system.

https://entwistleco.com/defense-products/shipboard-machinery-systems/
https://navysbir.us/n12_2/N122-129.htm
https://www.highergov.com/contract/N5005423P0030/"
DDG,JW6PXX1WALN4,D5,P3,"Cooling and ventilation fans/blowers are HVAC/ventilation equipment.

https://www.fairbanksmorsedefense.com/solutions/fans-blowers/
https://www.chartindustries.com/Howden-Products","Cooling and ventilation fans/blowers are bounded functional air-moving equipment.

https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-american-fan-awarded-contracts-for-u-s-navy-ddg-cooling-and-ventilation-equipment/
https://www.workboat.com/american-fan-secures-contracts-for-ten-guided-missile-destroyers"
DDG,K574V7KEQUC8,D0,P0,"Aerospace-focused entity has no confirmed DDG shipset component or defensible ship domain.

https://aerospace.circor.com/
https://aerospace.circor.com/products/fluid-controls
https://www.highergov.com/awardee/circor-aerospace-inc-10414129/","No public evidence ties this aerospace UEI to a distinct DDG-51 construction component or shipset role.

https://www.circoraerospace.com/
https://www.asap-aerospace.com/rfq/circor-aerospace-inc/5950010183073/4916/
https://www.parttarget.com/5330-01-309-3622_5330013093622_8457-093.html"
DDG,KCYPSYNH1M94,D10,P2,"Joiner systems, berths, furnishings and interior barriers are interiors/habitability outfit.

https://www.ship-technology.com/contractors/bulkheads/joiner/
https://www.unisco.com/importers/us-joiner-llc","Joiner bulkheads, doors, berths, furnishings, and interior barriers are fit-ready interior outfitting components, not a ship module.

https://www.marinelog.com/news/jf-lehman-acquires-us-joiner/
https://leadiq.com/c/us-joiner/5a1d88c22400002400625b92
https://www.murphydev.com/us-joiner-llc-leases-66530-square-feet-at-siempre-viva-business-park-on-otay-mesa/"
DDG,KHK8QYLFGLU1,D3,P3,"501-K34/MT5S turbines are prime movers for ship-service generator sets, not main propulsion.

https://www.rolls-royce.com/media/our-stories/discover/2017/power-surge-ag9160.aspx
https://www.mtu-solutions.com/na/en/applications/commercial-marine/system-solutions/marine-gensets.html","501-K34/MT5S gas-turbine prime movers are functional engine units used in generator sets.

https://www.rolls-royce.com/media/our-stories/discover/2022/celebrating-50-years-of-delivering-marine-gas-turbine-generators.aspx
https://www.rolls-royce.com/media/our-stories/discover/2017/power-surge-ag9160.aspx
https://asmedigitalcollection.asme.org/GT/proceedings/GT2000/78545/V001T02A013/239184"
DDG,KLDTZDR12ZB7,D8,P2,"Watertight/ballistic doors, hatches, scuttles and manholes are access/closure auxiliaries.

https://www.juniperindustries.com/
https://www.juniperindustries.com/products/","Watertight/ballistic/weathertight doors, hatches, scuttles, and ventilation pieces are finished fabricated closure/ventilation components.

https://www.juniperindustries.com/
https://www.juniperindustries.com/doors/
https://www.juniperindustries.com/hatches/"
DDG,KNEFNMWXBK39,D3,P3,"Circuit breakers and electrical-distribution hardware protect/distribute shipboard power.

https://www.jokell.com/
https://pssra.org/member-spotlight-jo-kell/
https://www.shipserv.com/supplier/profile/s/jo-kell-inc-82970","Circuit breakers and shore-power adapter hardware are functional electrical-distribution/protection units.

https://www.highergov.com/awardee/jo-kell-inc-10001664/
https://www.shipserv.com/ShipServ/pages/profiles/82970/specsheets/0495SS0619w.pdf
https://www.jokell.com/news/jo-kell-earns-certification-for-high-voltage-patton-amp-cooke-couplers"
DDG,KYURG7LRSC89,D4,P3,"Naval pumps and pump aftermarket components move shipboard fluids.

https://www.warrenpumps.com/
https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event
https://www.highergov.com/awardee/circor-naval-solutions-llc-10110392/","Naval pumps are functional fluid-handling equipment, even when supported by replacement components.

https://www.warrenpumps.com/aftermarket/simsite.htm
https://www.circorpt.com/"
DDG,LCZDJ6YPNYG6,D0,P1,"Construction/sea-trial fuel is a consumable, not a ship technical/material capability domain.

https://themartincompanies.com/martin-energy-services-llc/
https://govtribe.com/vendors/martin-energy-services-llc-3r839","Fuel for construction, testing, or sea-trial support is a bulk consumable input at handoff.

https://themartincompanies.com/martin-energy-services-llc/
https://themartincompanies.com/martin-energy-services-llc/marine-fuels/
https://govtribe.com/vendors/martin-energy-services-llc-3r839"
DDG,LFVJABJDQVZ9,D4,P2,"Distributed valves, pipe/tube, fittings and strainers are fluid/piping materials.

https://www.vytlcontrols.com/company/w-and-o/
https://cdn1.shipserv.com/ShipServ/pages/profiles/221001/documents/8.-WO-Euro-W-O-Marine-Valves_DIN.pdf","The disclosed W&O role resolves to distributor-supplied pipe/fittings/sealing and demineralizer components rather than a configured equipment system.

https://www.vytlcontrols.com/company/w-and-o/
https://pssra.org/member/wo-supply/
https://www.shipserv.com/supplier/profile/s/wo-supply-usa-221001"
DDG,LGL1LNBH8KM5,D4,P3,"Automatic-control, pressure-reducing and solenoid valves control fluid systems.

https://griswoldcontrols.com/
https://www.svl.com/manufacturer/griswold-controls/balancing-and-control-valves/","Automatic-control, pressure-reducing, and solenoid valve assemblies are functional fluid-control units.

https://www.navsea.navy.mil/Portals/103/Documents/RMC/NAMTS/57th%20Edition%20NAMTS%20News%20July%202023-Reduced.pdf
https://www.cla-val.com/"
DDG,LM35HWEVUPH3,D8,P2,"The concrete supplied item is a quick-acting watertight door/closure assembly.

https://aditechnologies.com/mfao/mafodoors.html
https://www.highergov.com/contract-opportunity/uss-green-bay-lpd-20-mafo-quick-acting-watertigh-n5523624q0094-s-dfb79/","The quick-acting watertight door is a fit-ready closure assembly sourced for installation, not a functional equipment system.

https://aditechnologies.com/mfao/mafodoors.html
https://aditechnologies.com/program-successes/
https://imlive.s3.amazonaws.com/Federal%20Government/ID282946364218737939372645806179502512387/N5523620Q0082%20Redacted%20J-A.pdf"
DDG,LR2HQKYJLDZ7,D4,P3,"Distributed/repaired naval valves and actuators are fluid-system components.

https://www.vytlcontrols.com/company/w-and-o/
https://moodymarinesvc.com/products-supported/
https://www.highergov.com/awardee/esi-acquisition-corp-10118422/","Distributed valve and actuator assemblies are functional fluid-control equipment at handoff.

https://govtribe.com/award/federal-contract-award/purchase-order-n5005426p0035
https://www.jamoody.com/"
DDG,M4ANYAZ8Q6H8,D7,P3,"Tank level sensors, transmitters, receivers and indicators are instrumentation components.

https://www.gemssensors.com/level-sensors-switches
https://www.autoctrlsco.com/legacy/products/gems/markets-applications/marine/navy/tank-level/xm36460.html","Tank level sensors, transmitters, receivers, and indicators are functional measurement/control units.

https://fsg-59-switches-connectors.parttarget.com/switches-LS-12334_LS1444L92.html
https://magazines.marinelink.com/Magazines/MaritimeReporter/198506/content/handling-equipment-review-202892
https://magazines.marinelink.com/magazines/MaritimeReporter/199405/pdf/"
DDG,M4ELQDG7JLM5,D4,P3,"Centrifugal pumps and pump overhaul parts move shipboard fluids.

https://www.buffalopumps.com/markets-applications/navy-marine/
https://www.buffalopumps.com/products/navy-and-marine-duty-pumps/","Centrifugal pumps/OEM pump units are functional fluid-handling equipment once connected.

https://www.navsea.navy.mil/Portals/103/Documents/SSRAC/4E/FY26/FY26_4E_PKG_01OCT2024.pdf
https://www.buffalopumps.com/products/navy-and-marine-duty-pumps/
https://www.buffalopumps.com/"
DDG,MC77SUMRLXY5,D4,P3,"Gate, globe, check and ball valves are fluid/piping-control hardware.

https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.milwaukeevalve.com/product-category/marine-valves/navy-mil-standard-valves/","Gate, globe, check, and ball valves are bounded functional piping-control units.

https://www.highergov.com/awardee/milwaukee-valve-co-inc-10108548/
https://www.asapsemi.com/nsn/rfq/milwaukee-valve-company-inc/4820014799588/1281-006-3-41n/
https://www.lqlite.com/NSN/4820-01-479-9583"
DDG,MD21J51WM123,D4,P3,"Legacy Tyco role is fire-protection equipment, i.e., suppression fluid/agent hardware.

https://www.tyco-fire.com/
https://www.tyco-fire.com/products-and-solutions/valves-devices-and-components",Fire-suppression equipment is bounded functional equipment (P3); matches sibling JCI/Tyco UEI H1PAVTLJBJ88 (D4/P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,MDH6KH9D4SG7,D3,P3,"Automatic bus-transfer switches, transformers and switch components distribute electrical power.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.power-solutions.com/power-dstr/asco-power-technologies/asco-power-transfer-switches/asco-low-voltage-automatic-transfer-switch/","Automatic bus-transfer-switch assemblies are functional electrical distribution/control equipment.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.gotpower.com/wp-content/uploads/2024/08/ASCO-series300-power-transfer-switches.pdf
https://www.globalpwr.com/brand/asco/"
